[0.0,0.02083333333333337] 1027.0032869005508
[0.02083333333333337,0.04166666666666663] 1125.6144114963631
[0.04166666666666663,0.0625] 1787.8444582175866
[0.0625,0.08333333333333337] 2316.7999378979857
[0.08333333333333337,0.10416666666666663] 2660.9090675704942
[0.10416666666666663,0.125] 2959.6772544285195
[0.125,0.14583333333333326] 3133.1755395761866
[0.14583333333333326,0.16666666666666663] 3299.558288748941
[0.16666666666666663,0.1875] 3465.953256863489
[0.1875,0.20833333333333326] 3530.7493708445522
[0.20833333333333326,0.22916666666666663] 3593.3861875893012
[0.22916666666666663,0.25] 3692.0458278371825
[0.25,0.27083333333333326] 3744.7500503582132
[0.27083333333333326,0.29166666666666663] 3723.2534373688454
[0.29166666666666663,0.3125] 3735.066267930839
[0.3125,0.33333333333333326] 3796.825091001021
[0.33333333333333326,0.35416666666666663] 3809.047369139501
[0.35416666666666663,0.375] 3714.1810861225267
[0.375,0.39583333333333326] 3616.1010892913264
[0.39583333333333326,0.41666666666666663] 3610.521146220303
[0.41666666666666663,0.4375] 3606.5818430726176
[0.4375,0.45833333333333326] 3449.8161221243863
[0.45833333333333326,0.47916666666666663] 3167.4907245590302
[0.47916666666666663,0.5] 2965.0835138411894
[0.5,0.5208333333333333] 2953.210865781825
[0.5208333333333333,0.5416666666666666] 2958.622192652607
[0.5416666666666666,0.5625] 2697.6504727336483
[0.5625,0.5833333333333333] 2192.9546860340215
[0.5833333333333333,0.6041666666666666] 1824.3544000093323
[0.6041666666666666,0.625] 1957.0055183910226
[0.625,0.6458333333333333] 2389.878245617567
[0.6458333333333333,0.6666666666666666] 2410.7863399566213
[0.6666666666666666,0.6875] 1609.9989391174827
[0.6875,0.7083333333333333] 687.6144852768978
[0.7083333333333333,0.7291666666666666] 1189.3525395634085
[0.7291666666666666,0.75] 3908.779656797087
[0.75,0.7708333333333333] 7231.5756093784
[0.7708333333333333,0.7916666666666666] 7614.651181623965
[0.7916666666666666,0.8125] 3449.209503180121
[0.8125,0.8333333333333333] 1062.514828441266
[0.8333333333333333,0.8541666666666666] 18876.264067448443
[0.8541666666666666,0.875] 85259.77902152491
[0.875,0.8958333333333333] 228224.27866168588
[0.8958333333333333,0.9166666666666666] 459961.3784622832
[0.9166666666666666,0.9375] 763482.1608021772
[0.9375,0.9583333333333333] 1089405.2365250788
[0.9583333333333333,0.9791666666666666] 1367128.9946917775
[0.9791666666666666,1.0] 1527376.382317481
[1.0,1.0208333333333333] 1527377.1530250502
[1.0208333333333333,1.0416666666666665] 1367127.3617964108
[1.0416666666666665,1.0625] 1089421.4336269833
[1.0625,1.0833333333333333] 763480.1212216942
[1.0833333333333333,1.1041666666666665] 459962.09296305303
[1.1041666666666665,1.125] 228226.45575374947
[1.125,1.1458333333333333] 85259.7560500718
[1.1458333333333333,1.1666666666666665] 18875.614746763335
[1.1666666666666665,1.1875] 1063.282800116571
[1.1875,1.2083333333333333] 3449.208660134288
[1.2083333333333333,1.2291666666666665] 7614.2128867951415
[1.2291666666666665,1.25] 7232.361570406484
[1.25,1.2708333333333333] 3908.020691175301
[1.2708333333333333,1.2916666666666665] 1189.3913962348224
[1.2916666666666665,1.3125] 687.1424888167992
[1.3125,1.3333333333333333] 1607.733378433825
[1.3333333333333333,1.3541666666666665] 2409.329198934046
[1.3541666666666665,1.375] 2385.0137964386627
[1.375,1.3958333333333333] 1956.855097677695
[1.3958333333333333,1.4166666666666665] 1820.257502342653
[1.4166666666666665,1.4375] 2187.838867677986
[1.4375,1.4583333333333333] 2697.4760858034742
[1.4583333333333333,1.4791666666666665] 2950.844485314007
[1.4791666666666665,1.5] 2943.998905069928
[1.5,1.5208333333333333] 2962.000901337394
[1.5208333333333333,1.5416666666666665] 3164.16257671122
[1.5416666666666665,1.5625] 3448.2494160435594
[1.5625,1.5833333333333333] 3598.6737102154793
[1.5833333333333333,1.6041666666666665] 3610.883839298491
[1.6041666666666665,1.625] 3614.425031161332
[1.625,1.6458333333333333] 3714.2482037001364
[1.6458333333333333,1.6666666666666665] 3811.236914457815
[1.6666666666666665,1.6875] 3798.081786018777
[1.6875,1.7083333333333333] 3737.8137950426412
[1.7083333333333333,1.7291666666666665] 3732.9104536459354
[1.7291666666666665,1.75] 3754.947624892787
[1.75,1.7708333333333333] 3710.234082637585
[1.7708333333333333,1.7916666666666665] 3606.3790882226685
[1.7916666666666665,1.8125] 3545.1282334198386
[1.8125,1.8333333333333333] 3476.545685192266
[1.8333333333333333,1.8541666666666665] 3315.6662756029605
[1.8541666666666665,1.875] 3147.756354689989
[1.875,1.8958333333333333] 2972.1227573602055
[1.8958333333333333,1.9166666666666665] 2658.3309028231915
[1.9166666666666665,1.9375] 2305.1226136752875
[1.9375,1.9583333333333333] 1760.6088894186569
[1.9583333333333333,1.9791666666666665] 1097.7904354930058
[1.9791666666666665,2.0] 1023.6758846234502
