[0.0,0.02083333333333337] 98814.09409080454
[0.02083333333333337,0.04166666666666663] 1657.2791022069202
[0.04166666666666663,0.0625] 2205.7166476142875
[0.0625,0.08333333333333337] 2981.2039640498606
[0.08333333333333337,0.10416666666666663] 3543.038778027161
[0.10416666666666663,0.125] 4041.6707001527348
[0.125,0.14583333333333326] 4331.678126076884
[0.14583333333333326,0.16666666666666663] 4554.012256867509
[0.16666666666666663,0.1875] 4700.812097980724
[0.1875,0.20833333333333326] 4722.512544174524
[0.20833333333333326,0.22916666666666663] 4720.666060161604
[0.22916666666666663,0.25] 4768.061387601052
[0.25,0.27083333333333326] 4737.795109410375
[0.27083333333333326,0.29166666666666663] 4575.496519469296
[0.29166666666666663,0.3125] 4379.604520043202
[0.3125,0.33333333333333326] 4228.118215506231
[0.33333333333333326,0.35416666666666663] 4059.409110759728
[0.35416666666666663,0.375] 3873.5963624229043
[0.375,0.39583333333333326] 3781.995308338196
[0.39583333333333326,0.41666666666666663] 3846.526634454929
[0.41666666666666663,0.4375] 3969.680186387083
[0.4375,0.45833333333333326] 3983.5480122392664
[0.45833333333333326,0.47916666666666663] 3905.715351681153
[0.47916666666666663,0.5] 3938.8245748019367
[0.5,0.5208333333333333] 4198.716497230496
[0.5208333333333333,0.5416666666666666] 4530.488305249309
[0.5416666666666666,0.5625] 4662.2382932255005
[0.5625,0.5833333333333333] 4604.543746587946
[0.5833333333333333,0.6041666666666666] 4714.847642331979
[0.6041666666666666,0.625] 5334.636038010483
[0.625,0.6458333333333333] 6255.537014239051
[0.6458333333333333,0.6666666666666666] 6772.013600661741
[0.6666666666666666,0.6875] 6496.914054345907
[0.6875,0.7083333333333333] 6101.232063198913
[0.7083333333333333,0.7291666666666666] 7064.622483617452
[0.7291666666666666,0.75] 10165.165581735046
[0.75,0.7708333333333333] 13858.665660520603
[0.7708333333333333,0.7916666666666666] 14757.634575955826
[0.7916666666666666,0.8125] 11337.207120248586
[0.8125,0.8333333333333333] 9644.091700320383
[0.8333333333333333,0.8541666666666666] 27340.82998693483
[0.8541666666666666,0.875] 91579.47884122204
[0.875,0.8958333333333333] 229219.23164894592
[0.8958333333333333,0.9166666666666666] 451921.73746478057
[0.9166666666666666,0.9375] 743356.7677301611
[0.9375,0.9583333333333333] 1056192.938468284
[0.9583333333333333,0.9791666666666666] 1322698.3381504114
[0.9791666666666666,1.0] 1476463.0765536209
[1.0,1.0208333333333333] 1476467.2314606304
[1.0208333333333333,1.0416666666666665] 1322698.0065062747
[1.0416666666666665,1.0625] 1056201.719412621
[1.0625,1.0833333333333333] 743370.3714110509
[1.0833333333333333,1.1041666666666665] 451952.16840858606
[1.1041666666666665,1.125] 229270.5642732044
[1.125,1.1458333333333333] 91647.89669086572
[1.1458333333333333,1.1666666666666665] 27411.70948113854
[1.1666666666666665,1.1875] 9751.092470811062
[1.1875,1.2083333333333333] 11440.06709920349
[1.2083333333333333,1.2291666666666665] 14862.106887874404
[1.2291666666666665,1.25] 13935.031721339581
[1.25,1.2708333333333333] 10227.050281384529
[1.2708333333333333,1.2916666666666665] 7116.145380001979
[1.2916666666666665,1.3125] 6134.994661147153
[1.3125,1.3333333333333333] 6511.42787398654
[1.3333333333333333,1.3541666666666665] 6771.020504320753
[1.3541666666666665,1.375] 6237.519735106425
[1.375,1.3958333333333333] 5313.809610255236
[1.3958333333333333,1.4166666666666665] 4689.923565159135
[1.4166666666666665,1.4375] 4573.8075514885095
[1.4375,1.4583333333333333] 4635.253272013633
[1.4583333333333333,1.4791666666666665] 4506.936354343003
[1.4791666666666665,1.5] 4176.875824033166
[1.5,1.5208333333333333] 3916.445964248693
[1.5208333333333333,1.5416666666666665] 3883.5242687162627
[1.5416666666666665,1.5625] 3969.922379323202
[1.5625,1.5833333333333333] 3958.482695220111
[1.5833333333333333,1.6041666666666665] 3837.1364581989683
[1.5833333333333333,1.6041666666666665] 3837.1364581989683
[1.6041666666666665,1.625] 3771.4437967218523
[1.625,1.6458333333333333] 3862.83139644526
[1.6458333333333333,1.6666666666666665] 4049.228786737265
[1.6666666666666665,1.6875] 4217.858895521433
[1.6875,1.7083333333333333] 4382.075629057657
[1.7083333333333333,1.7291666666666665] 4572.3987372874435
[1.7291666666666665,1.75] 4733.215461019358
[1.75,1.7708333333333333] 4760.755888141783
[1.7708333333333333,1.7916666666666665] 4718.443313979444
[1.7916666666666665,1.8125] 4714.041951864994
[1.8125,1.8333333333333333] 4698.022956440893
[1.8333333333333333,1.8541666666666665] 4551.990351734421
[1.8541666666666665,1.875] 4328.988800322915
[1.875,1.8958333333333333] 4029.6172419627014
[1.8958333333333333,1.9166666666666665] 3537.3973759478044
[1.9166666666666665,1.9375] 2949.0271993239276
[1.9375,1.9583333333333333] 2166.3293168220243
[1.9583333333333333,1.9791666666666665] 1301.5756781723953
[1.9791666666666665,2.0] 2431.6949409770396
